Arquivo,Data,Hora,Vel_Regulamentada (Km/h),Vel_Medida (Km/h),Vel_Considerada (Km/h),Erro
214691\420623_11.jpg,18/08/2025,10H54MIN03S,20,40,,
214692\420625_11.jpg,18/08/2025,10H,20,4,,Resultado parcial
214693\420627_11.jpg,18/08/2025,10H54MIN09S,20,40,,
214694\420629_11.jpg,18/08/2025,10H54MIN12S,20,40,,
214695\420631_11.jpg,18/08/2025,10H54MIN14S,20,40,,
214696\420633_11.jpg,18/08/2025,10H54MIN17S,20,40,,
214697\420635_11.jpg,18/08/2025,10H54MIN20S,20,40,,
214698\420637_11.jpg,18/08/2025,10H54MIN23S,20,40,,
214699\420639_11.jpg,18/08/2025,10H54MIN25S,20,40,,
214700\420641_11.jpg,18/08/2025,10H54MIN28S,20,40,,
214701\420643_11.jpg,18/08/2025,10H54MIN31S,20,40,,
214702\420645_11.jpg,18/08/2025,10H54MIN33S,20,40,,
214703\420647_11.jpg,18/08/2025,10H54MIN36S,20,40,,
214704\420649_11.jpg,18/08/2025,10H54MIN39S,20,40,,
214705\420651_11.jpg,18/08/2025,10H54MIN42S,20,40,,
214706\420653_11.jpg,18/08/2025,10H54MIN44S,20,40,,
214707\420655_11.jpg,18/08/2025,10H54MIN4,20,40,,
214708\420657_11.jpg,18/08/2025,10H54MIN,20,40,,
214709\420659_11.jpg,18/08/2025,10H54MIN53S,20,40,,
214710\420661_11.jpg,18/08/2025,10H54MIN,20,40,,
214711\420663_11.jpg,18/08/2025,10H54MIN,20,40,,
214712\420665_11.jpg,18/08/2025,10H5,20,40,,
214713\420667_11.jpg,18/08/2025,10H5,20,40,,
214714\420669_11.jpg,18/08/2025,10H5,20,40,,
214715\420671_11.jpg,18/08/2025,10H5,20,40,,
214716\420673_11.jpg,18/08/2025,10H5,20,40,,
214717\420675_11.jpg,18/08/2025,10H55M,20,40,,
214718\420677_11.jpg,18/08/2025,10H55MIN17S,20,40,,
214719\420679_11.jpg,18/08/2025,10H5,20,40,,
214720\420681_11.jpg,18/08/2025,10H5,20,40,,
214721\420683_11.jpg,18/08/2025,10H5,20,40,,
214722\420685_11.jpg,18/08/2025,10H5,20,40,,
214723\420687_11.jpg,18/08/2025,10H5,20,40,,
214724\420689_11.jpg,18/08/2025,10H5,20,40,,
214725\420691_11.jpg,18/08/2025,10H5,20,40,,
214726\420693_11.jpg,18/08/2025,10H5,20,40,,
214727\420695_11.jpg,18/08/2025,10H5,20,40,,
214728\420697_11.jpg,18/08/2025,10H5,20,40,,
214729\420699_11.jpg,18/08/2025,10,20,40,,
214730\420701_11.jpg,18/08/2025,10H5,20,40,,
214731\420703_11.jpg,18/08/2025,10H5,20,40,,
214732\420705_11.jpg,18/08/2025,10H5,20,40,,
